CustomerID_enc,Cluster
0,1
1,1
2,1
3,1
4,1
5,0
6,3
7,1
8,1
9,0
10,0
11,0
12,0
13,2
14,1
15,1
16,0
17,3
18,0
19,0
20,1
21,1
22,0
23,2
24,2
25,1
26,1
27,0
28,3
29,1
30,0
31,1
32,3
33,1
34,3
35,1
36,0
37,3
38,0
39,0
40,3
41,0
42,3
43,2
44,0
45,1
46,1
47,1
48,4
49,1
50,0
51,0
52,4
53,1
54,2
55,0
56,0
57,1
58,1
59,1
60,1
61,4
62,0
63,1
64,0
65,4
66,1
67,0
68,3
69,0
70,0
71,0
72,1
73,1
74,0
75,1
76,4
77,1
78,1
79,3
80,1
81,2
82,0
83,1
84,1
85,0
86,0
87,0
88,2
89,1
90,3
91,0
92,1
93,1
94,0
95,1
96,0
97,1
98,0
99,2
100,1
101,0
102,3
103,0
104,0
105,3
106,4
107,1
108,0
109,1
110,0
111,4
112,0
113,0
114,1
115,0
116,1
117,0
118,1
119,0
120,0
121,1
122,1
123,0
124,1
125,0
126,1
127,0
128,1
129,0
130,1
131,1
132,0
133,0
134,3
135,1
136,0
137,0
138,1
139,1
140,2
141,0
142,0
143,2
144,3
145,0
146,1
147,4
148,0
149,1
150,1
151,1
152,1
153,1
154,1
155,3
156,4
157,1
158,1
159,3
160,0
161,0
162,1
163,1
164,1
165,0
166,0
167,0
168,4
169,0
170,1
171,0
172,0
173,0
174,1
175,1
176,1
177,1
178,1
179,1
180,4
181,1
182,0
183,0
184,1
185,1
186,0
187,3
188,1
189,0
190,1
191,0
192,1
193,0
194,0
195,1
196,1
197,0
198,1
199,1
200,1
201,4
202,1
203,1
204,0
205,1
206,2
207,0
208,0
209,1
210,1
211,0
212,0
213,1
214,0
215,1
216,2
217,1
218,0
219,1
220,0
221,0
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,0
230,0
231,0
232,1
233,1
234,2
235,4
236,0
237,1
238,0
239,0
240,1
241,1
242,1
243,0
244,0
245,1
246,2
247,1
248,4
249,0
250,1
251,1
252,1
253,1
254,4
255,1
256,1
257,3
258,1
259,0
260,1
261,2
262,0
263,0
264,1
265,1
266,1
267,1
268,0
269,0
270,0
271,1
272,0
273,0
274,1
275,1
276,1
277,1
278,0
279,1
280,0
281,0
282,2
283,0
284,0
285,1
286,1
287,1
288,0
289,1
290,2
291,1
292,0
293,2
294,0
295,1
296,2
297,1
298,1
299,4
300,0
301,1
302,0
303,0
304,1
305,1
306,0
307,1
308,2
309,1
310,1
311,1
312,1
313,0
314,1
315,0
316,1
317,1
318,2
319,3
320,1
321,1
322,2
323,2
324,1
325,0
326,1
327,0
328,0
329,1
330,0
331,0
332,1
333,1
334,2
335,1
336,0
337,0
338,2
339,0
340,1
341,1
342,1
343,1
344,1
345,0
346,1
347,1
348,4
349,0
350,1
351,0
352,0
353,1
354,0
355,1
356,2
357,2
358,0
359,2
360,1
361,1
362,3
363,3
364,1
365,2
366,1
367,1
368,1
369,1
370,0
371,0
372,0
373,1
374,4
375,1
376,0
377,0
378,1
379,2
380,0
381,4
382,0
383,0
384,0
385,0
386,1
387,1
388,1
389,1
390,2
391,1
392,4
393,3
394,0
395,0
396,3
397,0
398,0
399,1
400,0
401,0
402,1
403,1
404,1
405,1
406,0
407,1
408,1
409,0
410,1
411,4
412,0
413,0
414,0
415,2
416,3
417,1
418,1
419,1
420,0
421,0
422,2
423,3
424,0
425,1
426,3
427,0
428,1
429,0
430,0
431,1
432,0
433,0
434,0
435,2
436,0
437,1
438,0
439,0
440,1
441,1
442,1
443,0
444,1
445,0
446,4
447,1
448,3
449,4
450,1
451,0
452,0
453,4
454,1
455,1
456,0
457,0
458,1
459,0
460,1
461,1
462,1
463,1
464,0
465,1
466,1
467,2
468,3
469,0
470,0
471,1
472,4
473,1
474,1
475,0
476,1
477,1
478,0
479,1
480,0
481,1
482,0
483,0
484,1
485,1
486,1
487,1
488,1
489,2
490,0
491,0
492,0
493,1
494,1
495,0
496,4
497,1
498,1
499,0
500,1
501,1
502,1
503,1
504,2
505,0
506,1
507,0
508,0
509,4
510,1
511,4
512,0
513,1
514,1
515,4
516,2
517,1
518,1
519,1
520,3
521,1
522,1
523,0
524,0
525,1
526,1
527,1
528,0
529,1
530,1
531,1
532,1
533,0
534,0
535,0
536,1
537,2
538,0
539,0
540,0
541,1
542,2
543,4
544,4
545,0
546,0
547,0
548,1
549,1
550,1
551,0
552,0
553,0
554,3
555,0
556,1
557,1
558,0
559,0
560,3
561,1
562,1
563,1
564,0
565,3
566,1
567,3
568,2
569,1
570,1
571,1
572,0
573,2
574,1
575,0
576,0
577,0
578,0
579,1
580,1
581,1
582,0
583,1
584,1
585,1
586,1
587,1
588,0
589,0
590,3
591,1
592,0
593,1
594,1
595,1
596,1
597,1
598,0
599,1
600,1
601,1
602,0
603,1
604,3
605,0
606,1
607,0
608,0
609,0
610,1
611,0
612,1
613,4
614,0
615,1
616,1
617,1
618,1
619,1
620,0
621,2
622,1
623,1
624,1
625,0
626,1
627,0
628,0
629,1
630,0
631,1
632,2
633,0
634,1
635,1
636,1
637,1
638,0
639,4
640,1
641,4
642,4
643,1
644,1
645,4
646,2
647,1
648,0
649,0
650,0
651,1
652,0
653,1
654,1
655,1
656,0
657,4
658,0
659,0
660,1
661,1
662,2
663,4
664,0
665,1
666,1
667,0
668,3
669,0
670,0
671,4
672,0
673,0
674,2
675,1
676,0
677,0
678,0
679,1
680,0
681,1
682,0
683,1
684,1
685,1
686,0
687,1
688,0
689,0
690,1
691,1
692,4
693,0
694,0
695,1
696,0
697,4
698,0
699,1
700,0
701,1
702,0
703,0
704,1
705,0
706,3
707,0
708,0
709,0
710,1
711,0
712,1
713,1
714,0
715,3
716,0
717,1
718,0
719,0
720,0
721,3
722,4
723,1
724,1
725,0
726,1
727,1
728,2
729,1
730,0
731,1
732,1
733,1
734,0
735,0
736,1
737,0
738,0
739,0
740,0
741,1
742,1
743,0
744,1
745,0
746,0
747,0
748,0
749,4
750,0
751,1
752,0
753,1
754,0
755,1
756,3
757,1
758,1
759,1
760,0
761,1
762,1
763,1
764,0
765,0
766,1
767,1
768,1
769,1
770,1
771,3
772,0
773,1
774,1
775,3
776,1
777,0
778,0
779,1
780,0
781,0
782,1
783,0
784,0
785,2
786,3
787,1
788,1
789,1
790,1
791,1
792,0
793,1
794,1
795,3
796,1
797,4
798,0
799,0
800,2
801,1
802,1
803,1
804,1
805,1
806,0
807,1
808,2
809,4
