CustomerID_enc,Cluster
0,1
1,3
2,4
3,1
4,1
5,0
6,0
7,1
8,1
9,0
10,0
11,4
12,4
13,2
14,1
15,1
16,2
17,4
18,0
19,4
20,4
21,1
22,0
23,0
24,0
25,4
26,1
27,4
28,2
29,1
30,4
31,1
32,2
33,1
34,4
35,1
36,0
37,4
38,4
39,3
40,4
41,0
42,4
43,2
44,0
45,1
46,1
47,1
48,3
49,1
50,4
51,4
52,3
53,1
54,3
55,0
56,0
57,1
58,1
59,1
60,1
61,1
62,4
63,1
64,0
65,3
66,1
67,1
68,0
69,4
70,4
71,1
72,1
73,4
74,0
75,1
76,3
77,1
78,4
79,0
80,1
81,3
82,4
83,1
84,1
85,4
86,4
87,4
88,3
89,4
90,2
91,4
92,1
93,1
94,0
95,1
96,0
97,1
98,4
99,0
100,4
101,2
102,2
103,4
104,4
105,2
106,1
107,4
108,4
109,1
110,4
111,4
112,4
113,4
114,3
115,4
116,1
117,4
118,1
119,0
120,4
121,1
122,1
123,4
124,1
125,4
126,1
127,0
128,1
129,0
130,1
131,4
132,0
133,4
134,2
135,1
136,4
137,0
138,1
139,1
140,3
141,4
142,4
143,4
144,2
145,4
146,1
147,1
148,4
149,1
150,1
151,1
152,1
153,1
154,4
155,2
156,3
157,1
158,3
159,0
160,2
161,4
162,3
163,1
164,1
165,4
166,2
167,4
168,4
169,4
170,1
171,3
172,3
173,3
174,1
175,1
176,4
177,1
178,4
179,1
180,3
181,1
182,4
183,4
184,1
185,1
186,4
187,2
188,1
189,4
190,1
191,0
192,1
193,0
194,2
195,1
196,4
197,4
198,1
199,1
200,4
201,3
202,1
203,1
204,0
205,1
206,3
207,0
208,4
209,1
210,1
211,4
212,0
213,3
214,2
215,1
216,2
217,1
218,4
219,4
220,3
221,0
222,4
223,1
224,1
225,1
226,1
227,1
228,1
229,0
230,4
231,4
232,1
233,4
234,3
235,1
236,2
237,1
238,4
239,4
240,1
241,1
242,1
243,4
244,1
245,4
246,2
247,1
248,4
249,4
250,1
251,1
252,1
253,1
254,4
255,1
256,4
257,4
258,1
259,0
260,1
261,3
262,4
263,0
264,1
265,1
266,1
267,1
268,3
269,4
270,4
271,1
272,3
273,4
274,1
275,1
276,1
277,1
278,0
279,1
280,0
281,0
282,3
283,4
284,4
285,1
286,4
287,1
288,4
289,1
290,2
291,1
292,4
293,3
294,4
295,1
296,3
297,1
298,1
299,4
300,4
301,4
302,4
303,0
304,1
305,1
306,2
307,1
308,2
309,1
310,1
311,1
312,1
313,4
314,1
315,4
316,1
317,1
318,2
319,2
320,1
321,1
322,3
323,3
324,1
325,4
326,4
327,4
328,4
329,1
330,4
331,4
332,1
333,4
334,0
335,1
336,4
337,4
338,2
339,0
340,1
341,1
342,1
343,1
344,1
345,4
346,1
347,1
348,4
349,4
350,1
351,4
352,4
353,1
354,4
355,1
356,2
357,0
358,4
359,2
360,3
361,4
362,2
363,1
364,1
365,2
366,1
367,4
368,1
369,1
370,4
371,4
372,4
373,1
374,1
375,1
376,1
377,0
378,4
379,2
380,0
381,3
382,3
383,0
384,4
385,3
386,1
387,1
388,1
389,1
390,3
391,1
392,3
393,4
394,0
395,4
396,0
397,3
398,3
399,1
400,0
401,4
402,1
403,1
404,1
405,1
406,0
407,1
408,1
409,4
410,1
411,3
412,0
413,3
414,4
415,3
416,2
417,1
418,1
419,4
420,0
421,4
422,3
423,0
424,3
425,1
426,4
427,4
428,1
429,0
430,4
431,4
432,0
433,4
434,4
435,2
436,4
437,1
438,4
439,4
440,1
441,1
442,1
443,4
444,1
445,2
446,1
447,3
448,2
449,3
450,1
451,0
452,2
453,1
454,1
455,1
456,4
457,4
458,1
459,4
460,1
461,1
462,1
463,1
464,4
465,1
466,1
467,2
468,4
469,0
470,4
471,4
472,3
473,1
474,4
475,4
476,1
477,1
478,4
479,1
480,4
481,3
482,0
483,4
484,1
485,1
486,1
487,1
488,1
489,3
490,3
491,4
492,0
493,1
494,1
495,4
496,1
497,1
498,1
499,4
500,1
501,1
502,1
503,1
504,2
505,4
506,1
507,4
508,4
509,3
510,1
511,3
512,0
513,4
514,3
515,3
516,2
517,1
518,4
519,1
520,3
521,1
522,1
523,4
524,0
525,1
526,1
527,1
528,0
529,1
530,4
531,1
532,1
533,2
534,0
535,3
536,1
537,3
538,2
539,4
540,3
541,1
542,2
543,4
544,3
545,3
546,4
547,2
548,1
549,3
550,1
551,2
552,4
553,0
554,4
555,2
556,1
557,1
558,4
559,4
560,2
561,1
562,1
563,1
564,4
565,0
566,1
567,0
568,3
569,1
570,1
571,1
572,0
573,3
574,1
575,2
576,4
577,0
578,2
579,1
580,1
581,1
582,4
583,4
584,1
585,1
586,1
587,1
588,4
589,4
590,0
591,1
592,0
593,1
594,1
595,1
596,3
597,1
598,4
599,1
600,1
601,1
602,4
603,1
604,4
605,4
606,1
607,2
608,0
609,4
610,1
611,0
612,1
613,4
614,4
615,1
616,1
617,1
618,1
619,4
620,4
621,2
622,1
623,4
624,1
625,0
626,1
627,4
628,4
629,1
630,4
631,1
632,2
633,4
634,1
635,1
636,1
637,4
638,4
639,4
640,1
641,4
642,4
643,1
644,1
645,3
646,3
647,1
648,2
649,4
650,0
651,1
652,0
653,1
654,1
655,1
656,0
657,4
658,4
659,0
660,1
661,1
662,3
663,3
664,3
665,1
666,1
667,4
668,0
669,0
670,4
671,3
672,4
673,0
674,2
675,1
676,4
677,4
678,0
679,1
680,4
681,1
682,4
683,1
684,1
685,1
686,3
687,1
688,2
689,4
690,1
691,1
692,4
693,4
694,4
695,1
696,4
697,3
698,0
699,1
700,0
701,1
702,0
703,4
704,1
705,0
706,4
707,4
708,0
709,4
710,1
711,4
712,1
713,1
714,4
715,0
716,0
717,1
718,3
719,4
720,4
721,1
722,3
723,4
724,1
725,4
726,1
727,1
728,0
729,1
730,2
731,1
732,1
733,4
734,4
735,0
736,1
737,0
738,4
739,4
740,0
741,1
742,1
743,4
744,1
745,0
746,0
747,0
748,4
749,4
750,4
751,3
752,0
753,4
754,1
755,3
756,4
757,1
758,1
759,1
760,1
761,1
762,1
763,3
764,4
765,0
766,3
767,1
768,1
769,1
770,1
771,4
772,0
773,1
774,4
775,2
776,3
777,0
778,0
779,1
780,3
781,4
782,1
783,4
784,4
785,0
786,2
787,1
788,1
789,1
790,1
791,4
792,4
793,1
794,1
795,2
796,1
797,3
798,0
799,4
800,2
801,1
802,1
803,1
804,1
805,1
806,4
807,1
808,2
809,1
810,1
811,1
812,1
813,1
814,3
815,1
816,4
817,0
818,1
819,4
820,3
821,1
822,4
823,4
824,4
825,3
826,1
827,1
828,1
829,1
830,1
831,1
832,4
833,0
834,4
835,2
836,0
837,1
838,2
839,1
840,4
841,1
842,1
843,0
844,1
845,4
846,1
847,2
848,2
849,3
850,1
851,1
852,4
853,4
854,1
855,4
856,3
857,0
858,1
859,4
860,1
861,1
862,1
863,4
864,4
865,4
866,4
867,1
868,3
869,4
870,1
871,4
872,1
873,1
874,4
875,0
876,4
877,4
878,1
879,1
880,4
881,0
882,1
883,1
884,4
885,1
886,2
887,3
888,0
889,4
890,2
891,4
892,1
893,1
894,4
895,1
896,1
897,1
898,1
899,1
900,1
901,1
902,4
903,1
904,3
905,1
906,1
907,4
908,1
909,3
910,1
911,4
912,4
913,0
914,1
915,4
916,3
917,3
918,2
919,0
920,4
921,0
922,1
923,0
924,0
925,2
926,3
927,4
928,1
929,4
930,0
931,4
932,1
933,4
934,1
935,1
936,0
937,4
938,4
939,0
940,1
941,4
942,1
943,4
944,4
945,0
946,1
947,4
948,1
949,0
950,0
951,1
952,2
953,1
954,4
955,4
956,4
957,1
958,4
959,0
960,4
961,1
962,4
963,1
964,4
965,4
966,1
967,1
968,1
969,3
970,1
971,1
972,2
973,4
974,4
975,4
976,3
977,3
978,3
979,1
980,1
981,4
982,4
983,2
984,1
985,4
986,0
987,1
988,0
989,1
990,3
991,3
992,1
993,1
994,1
995,1
996,4
997,1
998,1
999,1
1000,1
1001,1
1002,3
1003,3
1004,0
1005,1
1006,1
1007,3
1008,0
1009,4
1010,0
1011,0
1012,4
1013,1
1014,1
1015,1
1016,4
1017,4
1018,1
1019,3
1020,4
1021,2
1022,0
1023,1
1024,1
1025,1
1026,0
1027,0
1028,1
1029,1
1030,4
1031,1
1032,4
1033,1
1034,3
1035,1
1036,4
1037,3
1038,1
1039,2
1040,1
1041,1
1042,1
1043,1
1044,2
1045,2
1046,1
1047,1
1048,3
1049,0
1050,1
1051,4
1052,4
1053,1
1054,2
1055,0
1056,4
1057,4
1058,1
1059,0
1060,3
1061,1
1062,1
1063,0
1064,0
1065,1
1066,4
1067,4
1068,4
1069,4
1070,4
1071,1
1072,1
1073,1
1074,1
1075,1
1076,4
1077,1
1078,3
1079,3
1080,4
1081,2
1082,0
1083,1
1084,4
1085,4
1086,1
1087,1
1088,4
1089,3
1090,4
1091,4
1092,3
1093,4
1094,1
1095,4
1096,0
1097,2
1098,1
1099,3
1100,4
1101,2
1102,4
1103,1
1104,1
1105,3
1106,1
1107,1
1108,1
1109,3
1110,1
1111,4
1112,4
1113,4
1114,4
1115,4
1116,3
1117,4
1118,4
1119,2
1120,0
1121,1
1122,1
1123,4
1124,0
1125,3
1126,1
1127,1
1128,1
1129,1
1130,1
1131,2
1132,0
1133,1
1134,4
1135,1
1136,1
1137,1
1138,4
1139,0
1140,0
1141,4
1142,1
1143,1
1144,4
1145,1
1146,4
1147,1
1148,3
1149,3
1150,1
1151,1
1152,4
1153,4
1154,2
1155,4
1156,1
1157,1
1158,1
1159,1
1160,4
1161,1
1162,1
1163,1
1164,1
1165,1
1166,1
1167,4
1168,1
1169,4
1170,2
1171,2
1172,0
1173,2
1174,3
1175,1
1176,3
1177,4
1178,0
1179,0
1180,4
1181,3
1182,1
1183,1
1184,4
1185,1
1186,4
1187,0
1188,1
1189,2
1190,1
1191,0
1192,1
1193,1
1194,1
1195,0
1196,1
1197,0
1198,4
1199,1
1200,1
1201,4
1202,1
1203,0
1204,2
1205,4
1206,4
1207,0
1208,1
1209,1
1210,1
1211,0
1212,2
1213,0
1214,4
1215,1
1216,1
1217,1
1218,1
1219,1
1220,4
1221,3
1222,4
1223,4
1224,3
1225,4
1226,4
1227,4
1228,0
1229,3
1230,1
1231,4
1232,4
1233,4
1234,3
1235,4
1236,4
1237,1
1238,1
1239,1
1240,1
1241,4
1242,0
1243,2
1244,3
1245,1
1246,3
1247,0
1248,0
1249,1
1250,3
1251,2
1252,4
1253,2
1254,1
1255,2
