CustomerID_enc,VisitCount,Cluster,Discount
0,6,1,0.0
1,5,1,0.0
2,14,1,0.05
3,8,1,0.0
4,4,1,0.0
5,36,0,0.05
6,41,3,0.05
7,5,1,0.0
8,5,1,0.0
9,40,0,0.05
10,9,0,0.0
11,15,0,0.05
12,10,0,0.05
13,45,2,0.05
14,5,1,0.0
15,9,1,0.0
16,19,0,0.05
17,12,3,0.05
18,24,0,0.05
19,11,0,0.05
20,6,1,0.0
21,8,1,0.0
22,22,0,0.05
23,36,2,0.05
24,44,2,0.05
25,10,1,0.05
26,7,1,0.0
27,11,0,0.05
28,10,3,0.05
29,5,1,0.0
30,17,0,0.05
31,13,1,0.05
32,56,3,0.05
33,3,1,0.0
34,18,3,0.05
35,9,1,0.0
36,22,0,0.05
37,12,3,0.05
38,21,0,0.05
39,9,0,0.0
40,9,3,0.0
41,32,0,0.05
42,12,3,0.05
43,42,2,0.05
44,26,0,0.05
45,1,1,0.0
46,8,1,0.0
47,3,1,0.0
48,3,4,0.0
49,4,1,0.0
50,15,0,0.05
51,11,0,0.05
52,6,4,0.0
53,6,1,0.0
54,2,2,0.0
55,16,0,0.05
56,20,0,0.05
57,4,1,0.0
58,7,1,0.0
59,14,1,0.05
60,4,1,0.0
61,15,4,0.05
62,15,0,0.05
63,4,1,0.0
64,22,0,0.05
65,31,4,0.05
66,5,1,0.0
67,15,0,0.05
68,47,3,0.05
69,14,0,0.05
70,18,0,0.05
71,4,0,0.0
72,4,1,0.0
73,13,1,0.05
74,28,0,0.05
75,4,1,0.0
76,5,4,0.0
77,1,1,0.0
78,13,1,0.05
79,32,3,0.05
80,3,1,0.0
81,4,2,0.0
82,23,0,0.05
83,10,1,0.05
84,5,1,0.0
85,19,0,0.05
86,11,0,0.05
87,10,0,0.05
88,10,2,0.05
89,10,1,0.05
90,13,3,0.05
91,15,0,0.05
92,10,1,0.05
93,11,1,0.05
94,46,0,0.05
95,4,1,0.0
96,24,0,0.05
97,7,1,0.0
98,25,0,0.05
99,1914,2,0.05
100,8,1,0.0
101,43,0,0.05
102,30,3,0.05
103,5,0,0.0
104,25,0,0.05
105,14,3,0.05
106,22,4,0.05
107,9,1,0.0
108,15,0,0.05
109,9,1,0.0
110,9,0,0.0
111,16,4,0.05
112,17,0,0.05
113,18,0,0.05
114,6,1,0.0
115,15,0,0.05
116,8,1,0.0
117,19,0,0.05
118,4,1,0.0
119,15,0,0.05
120,23,0,0.05
121,5,1,0.0
122,5,1,0.0
123,8,0,0.0
124,5,1,0.0
125,18,0,0.05
126,6,1,0.0
127,20,0,0.05
128,3,1,0.0
129,43,0,0.05
130,4,1,0.0
131,10,1,0.05
132,15,0,0.05
133,24,0,0.05
134,14,3,0.05
135,5,1,0.0
136,20,0,0.05
137,34,0,0.05
138,6,1,0.0
139,2,1,0.0
140,21,2,0.05
141,12,0,0.05
142,13,0,0.05
143,18,2,0.05
144,7,3,0.0
145,10,0,0.05
146,5,1,0.0
147,4,4,0.0
148,20,0,0.05
149,3,1,0.0
150,11,1,0.05
151,10,1,0.05
152,5,1,0.0
153,7,1,0.0
154,14,1,0.05
155,6,3,0.0
156,21,4,0.05
157,8,1,0.0
158,8,1,0.0
159,48,3,0.05
160,18,0,0.05
161,14,0,0.05
162,18,1,0.05
163,9,1,0.0
164,12,1,0.05
165,15,0,0.05
166,16,0,0.05
167,22,0,0.05
168,34,4,0.05
169,18,0,0.05
170,8,1,0.0
171,18,0,0.05
172,24,0,0.05
173,26,0,0.05
174,6,1,0.0
175,5,1,0.0
176,15,1,0.05
177,4,1,0.0
178,8,1,0.0
179,5,1,0.0
180,19,4,0.05
181,2,1,0.0
182,13,0,0.05
183,29,0,0.05
184,5,1,0.0
185,9,1,0.0
186,18,0,0.05
187,21,3,0.05
188,2,1,0.0
189,13,0,0.05
190,8,1,0.0
191,4,0,0.0
192,2,1,0.0
193,41,0,0.05
194,9,0,0.0
195,2,1,0.0
196,14,1,0.05
197,20,0,0.05
198,1,1,0.0
199,6,1,0.0
200,13,1,0.05
201,7,4,0.0
202,4,1,0.0
203,3,1,0.0
204,18,0,0.05
205,11,1,0.05
206,6,2,0.0
207,33,0,0.05
208,17,0,0.05
209,8,1,0.0
210,8,1,0.0
211,27,0,0.05
212,15,0,0.05
213,7,1,0.0
214,11,0,0.05
215,6,1,0.0
216,34,2,0.05
217,1,1,0.0
218,32,0,0.05
219,9,1,0.0
220,13,0,0.05
221,20,0,0.05
222,14,1,0.05
223,3,1,0.0
224,2,1,0.0
225,4,1,0.0
226,3,1,0.0
227,9,1,0.0
228,9,1,0.0
229,37,0,0.05
230,15,0,0.05
231,28,0,0.05
232,8,1,0.0
233,9,1,0.0
234,22,2,0.05
235,15,4,0.05
236,37,0,0.05
237,6,1,0.0
238,17,0,0.05
239,12,0,0.05
240,4,1,0.0
241,5,1,0.0
242,8,1,0.0
243,11,0,0.05
244,9,0,0.0
245,10,1,0.05
246,22,2,0.05
247,3,1,0.0
248,10,4,0.05
249,23,0,0.05
250,9,1,0.0
251,8,1,0.0
252,4,1,0.0
253,5,1,0.0
254,22,4,0.05
